"","GSM253220.CEL.gz","GSM253221.CEL.gz","GSM253222.CEL.gz","GSM253223.CEL.gz","GSM253224.CEL.gz","GSM253225.CEL.gz","GSM253226.CEL.gz","GSM253227.CEL.gz","GSM253228.CEL.gz","GSM253229.CEL.gz","GSM253230.CEL.gz","GSM253231.CEL.gz","GSM253232.CEL.gz","GSM253233.CEL.gz","GSM253234.CEL.gz","GSM253235.CEL.gz","GSM253236.CEL.gz","GSM253237.CEL.gz"
"Pf.14.289.0_CDS_at",6.72939829972387,6.35628324722571,6.47854166924048,6.60942072961125,6.75760235022276,6.71105218460291,7.03009108939447,6.55721370138391,7.23599351952069,6.56849768430126,7.28781689512374,6.68991920849888,7.8959071389311,7.31103586831111,7.55558566737435,7.80621321803235,7.49932430868824,7.45220530750606
"Pf.6.106.0_CDS_at",12.1348707370302,11.9861333287062,11.9386847322602,12.1807408915119,11.8635359013503,11.8361705587175,11.2911357697588,11.0507802284336,11.2586256971357,10.6538520726591,11.3175865043679,11.0748753293964,10.9018295269187,10.9300126003878,10.934006462531,11.2704510573746,11.0056253721785,11.0847068900916
"Pf.14.347.0_CDS_at",7.87961126491891,7.45588963256054,7.00997798119765,7.58556477954817,7.39037205873209,7.46130391080507,7.29972679549706,7.05410858258596,7.58054009757564,5.92666647592756,7.45759304102336,7.21711808273424,7.74278542097879,7.68580463277946,7.87512241687567,7.85756549829508,7.85932212999714,8.02688120776786
"Pf.11.243.0_CDS_at",8.86794564178206,9.22692418084011,9.08618031032817,8.81510339119481,9.06070704202795,9.01177306775429,9.59613587829963,9.82961168845187,9.95342463515531,9.27762414338462,10.0085648183129,9.82259459974603,10.1415913720536,9.93756893594394,10.0649274862208,9.9734124574901,10.0004891300263,10.1682579843398
"Pf.12.123.0_CDS_at",8.4436284871782,8.39949236578108,8.47626225769953,8.62629490527866,8.19439770835116,8.60684295194439,8.68218741626935,8.36311597939348,8.81796722605217,8.39766345384159,8.73856840209512,8.67184518589982,9.60979849378926,9.49448751329098,9.49268584161502,9.4167980386114,9.40418586469549,9.43170502467949
"Pf.4.118.0_CDS_at",10.5209983634204,10.6928357727656,10.7785270702202,10.6413060316671,10.8355040680663,10.8519741359121,9.97027709826831,10.0408157867416,10.2627519536466,9.46062955591614,10.1076626093881,10.0921546866336,9.67762462885462,9.44763281101582,9.67302774107573,9.72232125813301,9.82028114540301,9.79708390577287
"Pf.14.639.0_CDS_at",9.38890151389825,9.52202502995018,9.35468672072411,9.43075208420815,9.35084410760816,9.51254362466992,9.24988600704721,8.91620523326855,9.1975200812337,7.38734512764287,9.30281528167226,9.17373079632022,9.42352674151646,9.22939247303365,9.24402510252321,9.4868865892231,9.30076550062866,9.45515780935731
"Pf.1.49.0_CDS_at",7.97561043195449,7.99206218125176,7.9332570260681,7.81527740176383,7.8572090819514,7.90118806911182,7.80811901878994,7.46779536246715,7.91726215005709,7.0336029293794,7.79364294828636,7.67798826417905,8.76124796052046,8.47381078697734,8.78340074563647,8.54069034034364,8.51209314816308,8.71372612759438
"Ag.2L.130.0_CDS_at",5.60669652033292,5.87218544125908,5.9629153361496,5.66403986685908,5.71788192064412,5.71187352170509,6.26436744510404,6.24888904918645,5.94347353509513,6.94307863999696,5.92148848202626,6.41200037325926,5.04029119321692,5.77975677875176,5.46881469608281,5.39247602384171,5.07661370755652,5.25868226543626
"Pf.1.181.0_at",7.06792893333102,7.12234820041668,7.18620286980006,6.90961864963801,7.25393158160499,6.96108765414844,7.17404260798172,6.77492629626342,7.24765312947234,6.33371267970904,7.21159359577426,7.14815389231442,8.15048775676891,7.99020215084574,8.04901120927627,7.79957551057645,7.55047275292355,7.7517892399683
