"","106_1_Control","106_1_CQ","106_1_76I_Control","106_1_76I_CQ","106_1_76I_352K_Control","106_1_76I_352K_CQ"
"Pf.10.112.0_CDS_at",10.2259300161312,10.1280613524277,10.428725199816,10.3119179172785,11.1078506554395,11.052326045466
"Pf.9.70.0_CDS_at",6.83046206521927,6.73526287348173,7.04288891116082,6.85908552182856,7.78932227659943,7.48366572416763
"Pf.7.28.0_CDS_at",9.44015183274896,9.46251441679167,8.87796361281429,8.68656359600421,8.99637006316595,9.20393172257145
"Pf.4.19.0_CDS_at",8.62944970511312,8.47348865484209,8.70319120115617,8.63628024942574,7.80279803484183,8.37027717146973
"Pf.11.462.0_CDS_at",8.65022063965614,8.73368976007926,8.53923913460955,8.20700157853972,8.86021746883627,9.05554883733975
"Pf.13_1.575.0_CDS_x_at",6.66114204633337,6.75459471003507,6.61582108144688,6.32288854551007,6.18217830272878,6.89172008580792
"Pf.1.92.0_CDS_at",4.00072608237399,3.72908826372272,3.87885618682579,3.53709815225361,3.77815509352711,4.06313615099631
"Pf.2.40.0_CDS_s_at",3.53087138472444,3.85295098584732,4.01705471895902,4.11139492386565,3.18467636482558,3.16016206654314
"Pf.5.105.0_CDS_at",9.1601830140546,9.18406053197462,8.53261510669223,8.1881358457871,8.64317819370825,8.83013530218937
"Pf.12.259.0_CDS_at",3.73523783202001,3.70356563417322,4.05358397358379,4.12731315005646,4.0585823453273,4.63693323945243
"Pf.12.225.0_CDS_at",3.0434664882004,2.92780029961405,3.3133202288767,3.14457096504118,3.21696442657098,3.88542201882949
"Pf.10.10.0_CDS_at",3.10733489815123,3.02306241518444,3.6175738578504,3.38157231845991,3.86795270900785,3.9733328392842
"Pf.7.71.0_CDS_at",8.62432823980269,8.3494693714629,9.0473420749213,8.86844162273582,9.06149530157041,9.30458816416114
"Pf.12.490.0_CDS_at",5.74997439549506,5.99884020698355,6.05666292860502,5.91630960837395,5.34380836813545,5.8107445156736
"Pf.8.233.0_CDS_at",5.203886183479,5.13617614064795,4.82244024669259,4.68740625905487,5.78615520155663,5.58894531886221
"Pf.2.207.0_CDS_at",5.13542095139378,5.0999892190871,5.16784111748288,4.91653669216973,5.68004964625345,5.86517749808489
"Ag.3R.56.0_CDS_at",9.02312078383287,9.05821364514316,9.21105942692731,9.59497870655007,8.83724662792464,8.61554965605076
"Pf.14.298.0_CDS_at",8.85555307289101,8.78530223559967,8.89292207562644,8.28672855567132,8.76133097939982,8.84616622460199
"Pf.10.35.0_CDS_at",2.79832737650043,2.94381761633898,3.20349260498733,3.21507966922947,3.07722663210417,3.73879941757334
